Stormwater Gallons Saved,CO2 Avoided (in lbs.),kWh Saved,Therms Saved,Pollutants Saved (in lbs.),Property Benefits ($)
3323.74,463.23,187.95,64.46,3.04,123.17
2405.06,360.27,146.18,53.15,2.34,109.33
353.96,11.56,54.93,19.86,0.13,100.38
104.81,3.24,15.41,6.25,0.04,54.03
1583.29,37.84,179.85,62.95,0.44,53.04
610.21,22.56,107.24,38.97,0.24,69.91
610.21,22.56,107.24,38.97,0.24,69.91
417.73,18.39,87.39,30.72,0.19,51.11
459.0,20.33,96.61,33.11,0.2,55.25
1059.78,154.07,62.51,24.9,1.01,50.61
1713.26,257.48,104.47,37.64,1.65,89.39
42.88,1.98,9.42,4.86,0.02,9.67
995.39,31.55,149.96,54.81,0.35,60.19
21.55,0.93,4.43,2.43,0.01,9.08
2330.9,330.71,134.18,49.6,2.27,101.7
932.9,26.51,125.99,47.66,0.3,51.92
4716.94,497.27,201.76,67.98,3.44,50.99
1419.78,251.19,101.92,36.9,1.6,31.76
417.73,18.39,87.39,30.72,0.19,51.11
534.81,85.61,34.74,15.36,0.58,42.94
1743.34,277.54,112.61,43.37,1.86,21.98
924.05,145.98,51.13,18.95,0.95,57.03
180.17,7.4,35.19,16.18,0.08,27.05
3207.92,369.5,149.92,53.52,2.48,83.79
191.52,41.56,16.86,8.45,0.3,11.03
412.6,85.08,34.52,16.28,0.59,14.34
1204.08,233.62,94.79,32.58,1.44,35.35
141.15,4.33,20.57,9.24,0.05,44.54
1594.53,304.83,106.76,37.83,1.9,53.83
287.75,7.8,37.05,16.99,0.09,51.27
1279.02,32.78,155.82,56.9,0.38,53.43
711.03,24.05,114.33,42.87,0.27,79.68
815.52,155.22,62.98,22.89,0.96,40.04
728.66,113.97,39.92,17.29,0.74,73.6
252.8,9.29,44.15,17.87,0.1,41.97
622.51,103.6,68.93,25.94,0.7,42.83
919.4,196.83,68.93,25.94,1.27,42.83
211.4,8.68,41.25,18.76,0.1,30.4
458.78,72.46,29.4,12.76,0.48,42.98
36.0,1.57,7.46,3.11,0.02,12.19
728.66,113.97,39.92,17.29,0.74,73.6
